company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max,year,month
GFT Poland,1000.0,Łódź,Java,mid,10000.0,13000.0,13440.0,20160.0,2023,09
GFT Poland,1000.0,Warszawa,Java,mid,10000.0,13000.0,13440.0,20160.0,2023,09
GFT Poland,1000.0,Poznań,Python,senior,12000.0,22000.0,20160.0,33600.0,2023,09
GFT Poland,1000.0,Kraków,Python,senior,12000.0,22000.0,20160.0,33600.0,2023,09
GFT Poland,1000.0,Łódź,Python,senior,12000.0,22000.0,20160.0,33600.0,2023,09
GFT Poland,1000.0,Warszawa,Python,senior,12000.0,22000.0,20160.0,33600.0,2023,09
GFT Poland,1000.0,Poznań,Java,senior,14500.0,21000.0,20160.0,26880.0,2023,09
GFT Poland,1000.0,Kraków,Java,senior,14500.0,21000.0,20160.0,26880.0,2023,09
GFT Poland,1000.0,Łódź,Java,senior,14500.0,21000.0,20160.0,26880.0,2023,09
GFT Poland,1000.0,Warszawa,Java,senior,14500.0,21000.0,20160.0,26880.0,2023,09
Sollers Consulting,1000.0,Wrocław,Java,mid,8200.0,16400.0,10200.0,20400.0,2023,09
Sollers Consulting,1000.0,Poznań,Java,mid,8200.0,16400.0,10200.0,20400.0,2023,09
Sollers Consulting,1000.0,Warszawa,Java,mid,8200.0,16400.0,10200.0,20400.0,2023,09
Sollers Consulting,1000.0,Kraków,Java,mid,8200.0,16400.0,10200.0,20400.0,2023,09
Sollers Consulting,1000.0,Gdańsk,Java,mid,8200.0,16400.0,10200.0,20400.0,2023,09
Sollers Consulting,1000.0,Łódź,Java,mid,8200.0,16400.0,10200.0,20400.0,2023,09
Sopra Steria,1000.0,Remote,PHP,mid,10000.0,15000.0,16800.0,23520.0,2023,09
Sopra Steria,1000.0,Remote,Java,senior,15000.0,18000.0,23520.0,28560.0,2023,09
Square One Resources,10.0,Remote,Java,senior,,,25200.0,33600.0,2023,09
Volt.io,100.0,Warszawa,PHP,senior,17600.0,22400.0,20500.0,26000.0,2023,09
Volt.io,100.0,Kraków,PHP,senior,17600.0,22400.0,20500.0,26000.0,2023,09
Volt.io,100.0,Gdańsk,PHP,senior,17600.0,22400.0,20500.0,26000.0,2023,09
ALGOTEQUE,100.0,Remote,Java,senior,,,16000.0,25000.0,2023,09
Avanade Poland,100.0,Remote,Python,mid,13000.0,22400.0,19320.0,29400.0,2023,09
Awareson,100.0,Remote,Mobile,senior,,,26880.0,30240.0,2023,09
Awareson,100.0,Remote,JavaScript,mid,,,25200.0,26040.0,2023,09
